original_title,overview,genre names,keywords
teenage mutant ninja turtles,city heroes darkness settled york city shredder evil foot clan iron grip police politicians future grim unlikely outcast brothers rise sewers discover destiny teenage mutant ninja turtles turtles fearless reporter april wisecracking cameraman vern fenwick save city unravel shredders diabolical plan,science fiction action adventure fantasy comedy,martial arts terrorist hero mutation van turtle vigilante superhero based comic book ninja york city sewer reboot science experiment 3d
gravity,dr ryan stone brilliant medical engineer shuttle mission veteran astronaut matt kowalsky command flight retiring seemingly routine spacewalk disaster strikes shuttle destroyed leaving stone kowalsky completely alonetethered spiraling blackness space deafening silence tells lost link earth chance rescue fear panic gulp air eats little oxygen left home terrifying expanse space,science fiction thriller drama,space mission loss space astronaut trapped space
dante's peak,volcanologist harry dalton comes sleepy town dantes peak investigate recent rumblings dormant volcano burg named worst fears realized massive eruption hits immediately harry mayor townspeople themselves fighting lives amid catastrophic nightmare,action adventure thriller,helicopter town mayor evacuation motel lava volcano cabin lovers natural disaster partnership volcanologist rescue explosion scientist seismograph volcanic eruption rowboat catastrophe acid county fair abandoned mine volcanic ash
teenage mutant ninja turtles: out of the shadows,supervillain shredder escapes custody joins forces mad scientist baxter stockman dimwitted henchmen bebop rocksteady unleash diabolical plan world turtles prepare shredder crew themselves facing evil similar intentions notorious krang,fantasy action adventure comedy,brother brother relationship turtle sequel based comic book ninja rat
fantastic four,outsiders teleport dangerous universe alters physical form shocking lives irrevocably upended team learn harness daunting abilities save earth former friend enemy,action adventure science fiction,teleportation transformation telekinesis portal marvel comic superhero based comic book superhero team fantastic body horror invisible woman
night at the museum,chaos reigns natural history museum night watchman larry daley accidentally stirs ancient curse awakening attila hun army gladiators tyrannosaurus rex exhibits larry tries desperately museum control hes fighting losing battle president teddy roosevelt comes rescue,action adventure comedy family fantasy,museum skeleton night shift chaos genghis khan maya civilization natural history theodore roosevelt dinosaur based childrens book magical object security guard duringcreditsstinger inanimate objects coming life
san andreas,aftermath massive earthquake california rescuechopper pilot makes dangerous journey rescue estranged daughter,action drama thriller,california earthquake catastrophe disaster film 3d san andreas san andreas california rescue operation
tomorrow never dies,deranged media mogul staging international incidents pit worlds superpowers 007 evil mastermind adrenalinecharged battle reign terror prevent global pandemonium,adventure action thriller,london england england spy china news broadcast intelligence television missile manipulation media secret intelligence service special car tv station media tycoon navy motorcycle secret service hamburg germany
the patriot,proving field battle french indian war benjamin martin preferring simple life farmer son gabriel enlists army defend nation america british benjamin reluctantly returns life protect son,drama history war action,rebel southern usa loss son martial arts loss family passion insurgence french daughter south carolina british based true story gore mission
ocean's twelve,danny ocean reunites flame rest merry band thieves carrying huge heists rome paris amsterdam â europol agent hot heels,thriller crime,sequel fabergã© egg dutch eastindian company golden egg goon
mr. & mrs. smith,five six vanillawedded bliss ordinary suburbanites john jane smith stuck huge rut unbeknownst coolly lethal highlypaid assassins rival organisations discover theyre target secret lives collide spicy explosive mix wicked comedy pentup passion nonstop action hightech weaponry,action comedy drama thriller,bomb assassin secret identity secret assault rifle gun married couple hitman decoy marriage crisis marriage job dysfunctional marriage gunfight bullet wound
insurgent,beatrice prior confront inner demons continue fight powerful alliance threatens tear society apart,adventure science fiction thriller,based novel revolution dystopia sequel dystopic future adult 3d divergent
